PressureMPa,DepthP
5.528138318481208,0
6.413696241766758, 100.68771793878344
8.66500387446726, 199.1088725300271
10.66035451375436, 249.16698953893842
13.525280898876403, 299.2929097249128
21.739393645873694, 398.17900038744676
30.20219876017048, 498.6439364587369
38.04387834172802, 599.0604416892677
46.382216195273145, 697.9562185199535
50.36541069352964, 749.7287872917474
54.34812088337854, 798.3824099186362
58.57928128632312, 847.0554048818287
62.68645873692368, 897.278186749322
67.04232855482371, 949.0798140255713
70.65260557923285, 999.2638512204571
77.62253002712127, 1085.5772956218518
